labels,N=5-ref,N=10-ref,N=20-ref,N=40-ref,N=5-onnx,N=10-onnx,N=20-onnx,N=40-onnx,N=5-onnxErr,N=10-onnxErr,N=20-onnxErr,N=40-onnxErr
initialization,0,0,0,0,12.867,12.964,13.951,13.457,13.062,12.842,13.296,13.655
eq 1,38.612,148.309,439.182,1912.145,70.649,149.059,110.163,274.411,66.76,152.455,113.408,274.909
eq 2,37.255,114.017,480.092,2159.33,65.869,87.074,193.015,279.748,66.881,85.677,188.58,277.749
eq 3,37.877,117.56,447.941,2075.161,65.779,82.62,114.595,183.278,69.895,80.846,117.214,181.022
eq 4,58.979,121.777,409.968,1925.372,120.623,162.626,106.46,179.243,130.251,158.61,103.14,183.322
eq 5,36.145,111.162,429.601,2077.56,63.883,81.722,107.42,185.68,67.635,79.315,105.923,184.863
eq 6,36.544,113.667,411.949,2058.276,64.937,82.481,180.444,178.663,67.145,80.075,179.461,180.671
eq 7,36.964,112.15,436.074,1965.031,146.631,81.847,111.43,175.875,152.598,80.226,112.547,177.656
eq 8,45.782,129.935,454.989,2028.005,78.462,80.518,116.967,183.037,74.091,81.612,115.263,185.338
sum,328.158,968.577,3509.796,16200.88,689.7,820.911,1054.445,1653.392,708.318,811.658,1048.832,1659.185
total,11171,14312,20344,41375,12187,14365,18277,26516,12198,14382,18338,26725
